name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Myxococcaceae	31	F	1965	0.00004	1754	0.00005	2137	0.00004	1091	0.00003	1464	0.00003	1557	0.00004
Anaeromyxobacteraceae	1524215	F	1141	0.00002	1250	0.00003	1163	0.00002	701	0.00002	881	0.00002	948	0.00003
Archangiaceae	39	F	1175	0.00002	1196	0.00003	1304	0.00002	591	0.00002	944	0.00002	918	0.00002
Vulgatibacteraceae	1524213	F	89	0.00000	123	0.00000	136	0.00000	57	0.00000	91	0.00000	78	0.00000
Polyangiaceae	49	F	1556	0.00003	1673	0.00004	2098	0.00004	951	0.00002	1353	0.00003	1283	0.00003
Sandaracinaceae	1055686	F	324	0.00001	342	0.00001	278	0.00001	206	0.00001	223	0.00000	316	0.00001
Kofleriaceae	224464	F	274	0.00000	269	0.00001	373	0.00001	135	0.00000	248	0.00001	208	0.00001
Desulfovibrionaceae	194924	F	3093	0.00006	2787	0.00007	2032	0.00004	1920	0.00005	2327	0.00005	2473	0.00007
Desulfomicrobiaceae	213116	F	356	0.00001	455	0.00001	219	0.00000	219	0.00001	281	0.00001	348	0.00001
Desulfohalobiaceae	213117	F	141	0.00000	121	0.00000	23	0.00000	80	0.00000	93	0.00000	65	0.00000
Geobacteraceae	213422	F	2146	0.00004	1994	0.00005	1353	0.00003	1284	0.00003	1630	0.00003	1667	0.00004
Desulfuromonadaceae	213421	F	841	0.00002	781	0.00002	422	0.00001	629	0.00002	741	0.00002	553	0.00001
Desulfobulbaceae	213121	F	1778	0.00003	759	0.00002	19358	0.00036	870	0.00002	878	0.00002	1206	0.00003
Desulfobacteraceae	213119	F	984	0.00002	816	0.00002	425	0.00001	589	0.00002	898	0.00002	756	0.00002
Syntrophaceae	213468	F	224	0.00000	112	0.00000	203	0.00000	139	0.00000	214	0.00000	143	0.00000
Syntrophobacteraceae	213465	F	200	0.00000	139	0.00000	218	0.00000	97	0.00000	129	0.00000	168	0.00000
