name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Methanomassiliicoccales	1235850	O	29	0.00000	96	0.00000	23	0.00000	21	0.00000	72	0.00000	30	0.00000
Archaeoglobales	2231	O	72	0.00000	52	0.00000	39	0.00000	43	0.00000	35	0.00000	61	0.00000
Sulfolobales	2281	O	620	0.00001	509	0.00001	386	0.00001	440	0.00001	522	0.00001	399	0.00001
Desulfurococcales	114380	O	83	0.00000	78	0.00000	27	0.00000	25	0.00000	37	0.00000	54	0.00000
Thermoproteales	2266	O	53	0.00000	63	0.00000	20	0.00000	31	0.00000	50	0.00000	59	0.00000
Acidilobales	871006	O	58	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Candidatus Nitrosocaldales	1968909	O	22	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00000	0	0.00000
Nitrososphaerales	1033996	O	19	0.00000	22	0.00000	0	0.00000	13	0.00000	15	0.00000	15	0.00000
Caudovirales	28883	O	3980	0.00007	2537	0.00007	21580	0.00041	1764	0.00005	4759	0.00010	2732	0.00007
Herpesvirales	548681	O	345	0.00001	387	0.00001	102	0.00000	202	0.00001	347	0.00001	275	0.00001
Ortervirales	2169561	O	0	0.00000	0	0.00000	0	0.00000	64	0.00000	0	0.00000	0	0.00000
Candidatus Babeliales	2497644	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	87	0.00000
