name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Vibrio tritonius	1435069	S	55	0.00000	58	0.00000	46	0.00000	46	0.00000	51	0.00000	28	0.00000
Vibrio tubiashii	29498	S	41	0.00000	25	0.00000	34	0.00000	12	0.00000	17	0.00000	32	0.00000
Vibrio rumoiensis	76258	S	41	0.00000	15	0.00000	0	0.00000	21	0.00000	45	0.00000	57	0.00000
Vibrio splendidus	29497	S	38	0.00000	11	0.00000	0	0.00000	23	0.00000	35	0.00000	19	0.00000
Vibrio chagasii	170679	S	24	0.00000	22	0.00000	0	0.00000	15	0.00000	27	0.00000	17	0.00000
Vibrio sp. dhg	2163016	S	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Photobacterium damselae	38293	S	154	0.00000	44	0.00000	70	0.00000	152	0.00000	153	0.00000	113	0.00000
Photobacterium gaetbulicola	1295392	S	81	0.00000	58	0.00000	124	0.00000	52	0.00000	66	0.00000	54	0.00000
Photobacterium profundum	74109	S	72	0.00000	45	0.00000	53	0.00000	44	0.00000	51	0.00000	44	0.00000
Aliivibrio fischeri	668	S	107	0.00000	52	0.00000	91	0.00000	44	0.00000	87	0.00000	58	0.00000
Aliivibrio salmonicida	40269	S	70	0.00000	35	0.00000	38	0.00000	113	0.00000	127	0.00000	59	0.00000
Aliivibrio wodanis	80852	S	58	0.00000	22	0.00000	19	0.00000	82	0.00000	89	0.00000	37	0.00000
Salinivibrio kushneri	1908198	S	90	0.00000	58	0.00000	79	0.00000	90	0.00000	68	0.00000	54	0.00000
Salinivibrio sp. YCSC6	2003370	S	89	0.00000	48	0.00000	19	0.00000	54	0.00000	88	0.00000	65	0.00000
Grimontia hollisae	673	S	96	0.00000	59	0.00000	92	0.00000	42	0.00000	128	0.00000	60	0.00000
Candidatus Enterovibrio luxaltus	1927128	S	60	0.00000	25	0.00000	28	0.00000	44	0.00000	44	0.00000	41	0.00000
Paraphotobacterium marinum	1755811	S	42	0.00000	12	0.00000	11	0.00000	23	0.00000	27	0.00000	11	0.00000
Aeromonas hydrophila	644	S	5337	0.00010	4029	0.00011	2353	0.00004	2016	0.00005	4395	0.00009	3982	0.00011
Aeromonas veronii	654	S	326	0.00001	184	0.00000	302	0.00001	166	0.00000	277	0.00001	222	0.00001
Aeromonas salmonicida	645	S	242	0.00000	157	0.00000	279	0.00001	85	0.00000	231	0.00000	151	0.00000
Aeromonas schubertii	652	S	246	0.00000	209	0.00001	256	0.00000	151	0.00000	163	0.00000	206	0.00001
Aeromonas sp. ASNIH5	1758179	S	301	0.00001	138	0.00000	39	0.00000	216	0.00001	149	0.00000	115	0.00000
Aeromonas sp. CA23	2033032	S	148	0.00000	115	0.00000	92	0.00000	78	0.00000	97	0.00000	108	0.00000
Aeromonas encheleia	73010	S	137	0.00000	97	0.00000	260	0.00000	40	0.00000	101	0.00000	96	0.00000
Aeromonas caviae	648	S	106	0.00000	68	0.00000	28	0.00000	189	0.00000	164	0.00000	100	0.00000
Aeromonas sp. CU5	2033033	S	68	0.00000	101	0.00000	52	0.00000	47	0.00000	57	0.00000	59	0.00000
Aeromonas sp. ASNIH3	1636608	S	93	0.00000	22	0.00000	36	0.00000	31	0.00000	45	0.00000	64	0.00000
Aeromonas sp. ASNIH4	1636609	S	56	0.00000	82	0.00000	0	0.00000	93	0.00000	61	0.00000	50	0.00000
Aeromonas rivipollensis	948519	S	38	0.00000	39	0.00000	51	0.00000	18	0.00000	65	0.00000	26	0.00000
Aeromonas media	651	S	28	0.00000	23	0.00000	66	0.00000	20	0.00000	43	0.00000	21	0.00000
